Species;Location;Coordinates (Lat, Long);Habitat Information;Locality code;Collection date
Gryllus bimaculatus;Fort Dauphin (southeastern region of Madagascar);-24.9615, 46.9839;Grassland, farming areas;Fort Dauphin (FTU);03/12/2022
Teleogryllus lemur;Morondava (western part of Madagascar);-20.2930, 44.2855;Farming areas, grasslands, forest clearings, riversides;Morondava (MD);12/12/2022
Gryllodes sigillatus;Mahajanga (northwestern region of Madagascar);-15.6526, 46.3793;Synanthropic, villages, farming areas data ;Mahajanga (MJ);30/11/2022
